Year,MakeDate,Month,Housetype,Active listing,Sales,Benchmark price,Average day on market,Bank of Canada Interest Rate,Interest Change,Adj Close,Close,High,Open,Low,Volume,Previous year listing,Previous year sales,Previous years Benchmark price,Previous year average day
2021,10/1/2021,10,D,3244,1090,1850500,32,0.0025,0,20777.57500005,20777.57500005,20828.9800782,20743.93496085,20682.36533205,21313883500,4324,1335,1523800,38
2021,10/1/2021,10,T,936,603,975000,21,0.0025,0,20777.57500005,20777.57500005,20828.9800782,20743.93496085,20682.36533205,21313883500,1797,782,813000,29
2021,10/1/2021,10,A,3854,1801,746400,25,0.0025,0,20777.57500005,20777.57500005,20828.9800782,20743.93496085,20682.36533205,21313883500,6295,1570,683500,32
2021,9/1/2021,9,D,3729,950,1828200,33,0.0025,0,20510.938243952,20510.938243952,20596.937965048,20544.961867524,20467.366443429,23207654285.7143,4647,1317,1507500,40
2021,9/1/2021,9,T,1089,578,963800,23,0.0025,0,20510.938243952,20510.938243952,20596.937965048,20544.961867524,20467.366443429,23207654285.7143,2021,730,809900,33
2021,9/1/2021,9,A,4418,1621,738600,27,0.0025,0,20510.938243952,20510.938243952,20596.937965048,20544.961867524,20467.366443429,23207654285.7143,6428,1596,683500,32
2021,8/1/2021,8,D,3736,945,1807100,35,0.0025,0,20462.614304333,20462.614304333,20505.466703952,20452.204706048,20402.180710667,17829082380.9524,4614,1095,1491300,38
2021,8/1/2021,8,T,1113,576,952600,26,0.0025,0,20462.614304333,20462.614304333,20505.466703952,20452.204706048,20402.180710667,17829082380.9524,2036,620,806400,34
2021,8/1/2021,8,A,4156,1631,735100,28,0.0025,0,20462.614304333,20462.614304333,20505.466703952,20452.204706048,20402.180710667,17829082380.9524,6153,1332,685800,32
2021,7/1/2021,7,D,4113,1050,1801100,30,0.0025,0,20165.295107905,20165.295107905,20219.823846619,20164.780785143,20092.676060381,17039081904.7619,4460,1121,1477800,41
2021,7/1/2021,7,T,1276,610,949400,20,0.0025,0,20165.295107905,20165.295107905,20219.823846619,20164.780785143,20092.676060381,17039081904.7619,1954,607,797700,33
2021,7/1/2021,7,A,4461,1666,736900,24,0.0025,0,20165.295107905,20165.295107905,20219.823846619,20164.780785143,20092.676060381,17039081904.7619,5669,1400,682500,31
2021,6/1/2021,6,D,4581,1262,1801100,23,0.0025,0,20110.072798318,20110.072798318,20161.0907315,20117.200195182,20056.868341636,22949076818.1818,4360,866,1464200,45
2021,6/1/2021,6,T,1477,726,946900,16,0.0025,0,20110.072798318,20110.072798318,20161.0907315,20117.200195182,20056.868341636,22949076818.1818,1872,472,790800,37
2021,6/1/2021,6,A,4781,1774,737600,21,0.0025,0,20110.072798318,20110.072798318,20161.0907315,20117.200195182,20056.868341636,22949076818.1818,5192,1105,680800,32
2021,5/1/2021,5,D,4769,1430,1800600,19,0.0025,0,19442.90488285,19442.90488285,19506.23017575,19428.4499999,19356.27001945,23841699500,3949,534,1456700,45
2021,5/1/2021,5,T,1488,800,936300,16,0.0025,0,19442.90488285,19442.90488285,19506.23017575,19428.4499999,19356.27001945,23841699500,1576,298,792700,39
