Year,MakeDate,Month,Housetype,Active listing,Sales,Benchmark price,Average day on market,Bank of Canada Interest Rate,Interest Change,Adj Close,Close,High,Open,Low,Volume,Previous year listing,Previous year sales,Previous years Benchmark price,Previous year average day
2018,1/1/2018,1,D,4204,487,1601500,54,0.0125,0.0025,16272.463733955,16272.463733955,16313.831853682,16287.454589864,16229.322798364,21072228636.3636,4118,444,1474800,58
2018,1/1/2018,1,T,974,319,803700,30,0.0125,0.0025,16272.463733955,16272.463733955,16313.831853682,16287.454589864,16229.322798364,21072228636.3636,938,254,666500,43
2018,1/1/2018,1,A,1769,1012,665400,28,0.0125,0.0025,16272.463733955,16272.463733955,16313.831853682,16287.454589864,16229.322798364,21072228636.3636,2182,825,512300,35
2017,12/1/2017,12,D,4275,617,1605800,51,0.01,0,16092.826223158,16092.826223158,16138.942074526,16094.526367263,16056.215666053,18427242631.5789,,,,
2017,12/1/2017,12,T,957,371,803700,24,0.01,0,16092.826223158,16092.826223158,16138.942074526,16094.526367263,16056.215666053,18427242631.5789,,,,
2017,12/1/2017,12,A,1726,1028,655400,21,0.01,0,16092.826223158,16092.826223158,16138.942074526,16094.526367263,16056.215666053,18427242631.5789,,,,
2017,11/1/2017,11,D,5299,841,1608000,43,0.01,0,16032.327192773,16032.327192773,16066.536443636,16032.772682864,16000.472700682,17676720909.0909,,,,
2017,11/1/2017,11,T,1224,446,805200,23,0.01,0,16032.327192773,16032.327192773,16066.536443636,16032.772682864,16000.472700682,17676720909.0909,,,,
2017,11/1/2017,11,A,2224,1508,648200,20,0.01,0,16032.327192773,16032.327192773,16066.536443636,16032.772682864,16000.472700682,17676720909.0909,,,,
2017,10/1/2017,10,D,5587,940,1609600,41,0.01,0,15825.976190476,15825.976190476,15853.671409952,15819.809477333,15797.219029,16584586190.4762,,,,
2017,10/1/2017,10,T,1228,550,802400,27,0.01,0,15825.976190476,15825.976190476,15853.671409952,15819.809477333,15797.219029,16584586190.4762,,,,
2017,10/1/2017,10,A,2322,1532,642000,20,0.01,0,15825.976190476,15825.976190476,15853.671409952,15819.809477333,15797.219029,16584586190.4762,,,,
2017,9/1/2017,9,D,5839,852,1617300,42,0.01,0.0025,15284.46000975,15284.46000975,15314.1399902,15269.58481435,15238.0548828,19350300000,,,,
2017,9/1/2017,9,T,1226,518,786600,24,0.01,0.0025,15284.46000975,15284.46000975,15314.1399902,15269.58481435,15238.0548828,19350300000,,,,
2017,9/1/2017,9,A,2401,1451,635800,22,0.01,0.0025,15284.46000975,15284.46000975,15314.1399902,15269.58481435,15238.0548828,19350300000,,,,
2017,8/1/2017,8,D,5514,901,1615100,36,0.0075,0,15108.950017773,15108.950017773,15154.554509909,15112.090997955,15060.240900182,15316680000,,,,
2017,8/1/2017,8,T,1180,529,778300,20,0.0075,0,15108.950017773,15108.950017773,15154.554509909,15112.090997955,15060.240900182,15316680000,,,,
2017,8/1/2017,8,A,2113,1613,626800,19,0.0075,0,15108.950017773,15108.950017773,15154.554509909,15112.090997955,15060.240900182,15316680000,,,,
2017,7/1/2017,7,D,5618,949,1612400,35,0.0075,0.0025,15153.54999995,15153.54999995,15200.9399902,15160.24003915,15099.6250001,15285498500,,,,
2017,7/1/2017,7,T,1210,543,763700,20,0.0075,0.0025,15153.54999995,15153.54999995,15200.9399902,15160.24003915,15099.6250001,15285498500,,,,
2017,7/1/2017,7,A,2366,1468,616600,17,0.0075,0.0025,15153.54999995,15153.54999995,15200.9399902,15160.24003915,15099.6250001,15285498500,,,,
2017,6/1/2017,6,D,5394,1320,1587900,30,0.005,0,15308.822665091,15308.822665091,15371.068270545,15315.154474318,15249.804465591,22931570909.0909,,,,
2017,6/1/2017,6,T,1077,668,745700,21,0.005,0,15308.822665091,15308.822665091,15371.068270545,15315.154474318,15249.804465591,22931570909.0909,,,,
2017,6/1/2017,6,A,2044,1905,600700,17,0.005,0,15308.822665091,15308.822665091,15371.068270545,15315.154474318,15249.804465591,22931570909.0909,,,,
2017,5/1/2017,5,D,4989,1548,1561000,33,0.005,0,15486.840997818,15486.840997818,15551.527254955,15507.618119636,15436.959117591,20691006818.1818,,,,
2017,5/1/2017,5,T,1039,791,715400,23,0.005,0,15486.840997818,15486.840997818,15551.527254955,15507.618119636,15436.959117591,20691006818.1818,,,,
2017,5/1/2017,5,A,2140,2025,571300,19,0.005,0,15486.840997818,15486.840997818,15551.527254955,15507.618119636,15436.959117591,20691006818.1818,,,,
2017,4/1/2017,4,D,4653,1211,1516500,40,0.005,0,15642.257863842,15642.257863842,15699.157843368,15652.621042368,15587.526161632,20705033157.8947,,,,
2017,4/1/2017,4,T,1066,620,701800,24,0.005,0,15642.257863842,15642.257863842,15699.157843368,15652.621042368,15587.526161632,20705033157.8947,,,,
2017,4/1/2017,4,A,2094,1722,554100,19,0.005,0,15642.257863842,15642.257863842,15699.157843368,15652.621042368,15587.526161632,20705033157.8947,,,,
2017,3/1/2017,3,D,4404,1150,1489400,39,0.005,0,15515.278192913,15515.278192913,15572.065089913,15510.308678652,15454.304262870,22767329565.2174,,,,
2017,3/1/2017,3,T,1018,588,685100,27,0.005,0,15515.278192913,15515.278192913,15572.065089913,15510.308678652,15454.304262870,22767329565.2174,,,,
2017,3/1/2017,3,A,2164,1841,537400,23,0.005,0,15515.278192913,15515.278192913,15572.065089913,15510.308678652,15454.304262870,22767329565.2174,,,,
2017,2/1/2017,2,D,4310,745,1474200,41,0.005,0,15639.705283684,15639.705283684,15684.215820316,15646.842054,15595.126233474,23169161578.9474,,,,
2017,2/1/2017,2,T,1031,404,675500,30,0.005,0,15639.705283684,15639.705283684,15684.215820316,15646.842054,15595.126233474,23169161578.9474,,,,
2017,2/1/2017,2,A,2253,1275,526300,24,0.005,0,15639.705283684,15639.705283684,15684.215820316,15646.842054,15595.126233474,23169161578.9474,,,,
2017,1/1/2017,1,D,4118,444,1474800,58,0.005,0,15486.576125429,15486.576125429,15531.990420333,15491.466657333,15437.700055810,20638236666.6667,,,,
2017,1/1/2017,1,T,938,254,666500,43,0.005,0,15486.576125429,15486.576125429,15531.990420333,15491.466657333,15437.700055810,20638236666.6667,,,,
2017,1/1/2017,1,A,2182,825,512300,35,0.005,0,15486.576125429,15486.576125429,15531.990420333,15491.466657333,15437.700055810,20638236666.6667,,,,
