Year,MakeDate,Population,GrowthRate,Growth,Month,Housetype,Active listing,Sales,Benchmark price,Change,Average day on market,Births,Deaths,Immigrants,Emigrants,Returning emigrants,Net temporary emigration,Net interprovincial migration,Net intraprovincial migration,Net non-permanent residents,Previous year listing,Previous year sales,Previous years Benchmark price,Previous year average day
2022,5/1/2022,,,,5,D,4337,793,2093600,-0.02131638,19,,,,,,,,,,4769,1430,1800600,19
2022,5/1/2022,,,,5,T,1463,520,1141200,-0.008083442,14,,,,,,,,,,1488,800,936300,16
2022,5/1/2022,,,,5,A,4210,1605,779700,-0.076950397,16,,,,,,,,,,4713,2049,737100,19
2022,4/1/2022,,,,4,D,3806,962,2139200,0.009723402,21,,,,,,,,,,4426,1655,1755500,17
2022,4/1/2022,,,,4,T,1228,578,1150500,0.010717737,13,,,,,,,,,,1378,964,900900,18
2022,4/1/2022,,,,4,A,3762,1692,844700,0.01101137,17,,,,,,,,,,4441,2289,729600,24
2022,3/1/2022,,,,3,D,3330,1291,2118600,0.036091549,22,,,,,,,,,,3713,1965,1700200,27
2022,3/1/2022,,,,3,T,1013,743,1138300,0.044311927,12,,,,,,,,,,1309,1046,872200,19
2022,3/1/2022,,,,3,A,3285,2310,835500,0.034162644,16,,,,,,,,,,4123,2697,715800,28
2022,2/1/2022,,,,2,D,2890,1010,2044800,0.041670912,24,,,,,,,,,,2948,1231,1621200,39
2022,2/1/2022,,,,2,T,871,560,1090000,0.058766391,14,,,,,,,,,,1192,737,839800,22
2022,2/1/2022,,,,2,A,2981,1854,807900,0.041510893,19,,,,,,,,,,4218,1759,697500,33
2022,1/1/2022,,,,1,D,2341,622,1963000,0.027641085,44,,,,,,,,,,2809,740,1576800,51
2022,1/1/2022,,,,1,T,675,348,1029500,0.024480048,21,,,,,,,,,,1206,454,815800,34
2022,1/1/2022,,,,1,A,2647,1315,775700,0.018246259,30,,,,,,,,,,4291,1195,680800,44
2021,12/1/2021,2606351,0.0098,25272,12,D,2260,794,1910200,0.021497326,38,23583,17885,28002,4249,948,772,12764,-12248,-3480,2913,1026,1554600,50
2021,12/1/2021,2606351,0.0098,25272,12,T,569,430,1004900,0.014743007,24,23583,17885,28002,4249,948,772,12764,-12248,-3480,1176,593,813900,32
2021,12/1/2021,2606351,0.0098,25272,12,A,2407,1464,761800,0.011955367,29,23583,17885,28002,4249,948,772,12764,-12248,-3480,4449,1474,676500,40
2021,11/1/2021,2606351,0.0098,25272,11,D,2918,987,1870000,0.010537693,37,23583,17885,28002,4249,948,772,12764,-12248,-3480,3806,1061,1538900,42
2021,11/1/2021,2606351,0.0098,25272,11,T,825,613,990300,0.015692308,24,23583,17885,28002,4249,948,772,12764,-12248,-3480,1578,632,814800,35
2021,11/1/2021,2606351,0.0098,25272,11,A,3401,1828,752800,0.008574491,26,23583,17885,28002,4249,948,772,12764,-12248,-3480,5734,1371,676500,34
2021,10/1/2021,2606351,0.0098,25272,10,D,3244,1090,1850500,0.01219779,32,23583,17885,28002,4249,948,772,12764,-12248,-3480,4324,1335,1523800,38
